station,member_casual,latitude,longitude,number_of_rides
Cannon Dr & Fullerton Ave,member,41.92671854698478,-87.63444862457835,2431
Damen Ave & Melrose Ave,member,41.94057742039918,-87.67854577001235,2430
Milwaukee Ave & Rockwell St,member,41.92022802240718,-87.69266337898623,2397
Western Ave & Roscoe St,member,41.9430329335,-87.68729620168908,2380
Chicago Ave & Sheridan Rd,member,42.050487748462515,-87.67781995146548,2361
Clark St & Elmdale Ave,member,41.9908564092112,-87.66969862050466,2358
Southport Ave & Clark St,member,41.95708919334188,-87.66419990378633,2340
Lake Park Ave & 35th St,member,41.831268793357665,-87.60880307157578,2329
Halsted St & 35th St,member,41.830670672281904,-87.64714651944993,2327
Talman Ave & Addison St,member,41.94664105334364,-87.69461861172702,2264
Clark St & Schreiber Ave,member,41.99951853126061,-87.67081870485472,2237
Richmond St & Diversey Ave,member,41.931920740837064,-87.70123345626232,2234
Field Museum,member,41.86534199771749,-87.61794977560987,2230
Racine Ave & 15th St,member,41.86132878791085,-87.65653919992346,2221
Canal St & Harrison St,member,41.874249171027024,-87.63957517334684,2220
St. Louis Ave & Fullerton Ave,member,41.92483021708046,-87.71450215477242,2175
California Ave & Montrose Ave,member,41.961046796324545,-87.69542141722145,2163
Milwaukee Ave & Fullerton Ave,member,41.922863346280685,-87.70036870865678,2159
Sheridan Rd & Columbia Ave,member,42.00456634486098,-87.66144755153383,2158
Claremont Ave & Hirsch St,member,41.90776283226152,-87.6858535221638,2149
Kedzie Ave & Palmer Ct,member,41.92151426075223,-87.70727674923836,2127
Greenview Ave & Jarvis Ave,member,42.01596903726496,-87.66859061769706,2106
W Armitage Ave & N Sheffield Ave,member,41.91878987182646,-87.65193409264143,2086
N Carpenter St & W Lake St,member,41.88755184271569,-87.65173613320098,2040
Wood St & Webster Ave,member,41.92104540043222,-87.67280514378683,2036
Calumet Ave & 21st St,member,41.85416427967407,-87.61917301878024,2025
Campbell Ave & Montrose Ave,member,41.961541628838255,-87.69117912205809,1997
Ogden Ave & Roosevelt Rd,member,41.8665052881115,-87.68461234074837,1991
Clinton St & 18th St,member,41.85793924824597,-87.64083765547883,1984
Wabash Ave & Cermak Rd,member,41.85261694357035,-87.62652866057992,1983
Leavitt St & Lawrence Ave,member,41.968837831055026,-87.6840006630742,1981
Ashland Ave & Belle Plaine Ave,member,41.956077826729306,-87.66884517603351,1969
W Oakdale Ave & N Broadway,member,41.93707964017356,-87.64268551423176,1959
Leavitt St & Addison St,member,41.94659584502055,-87.68333580977904,1946
Museum of Science and Industry,member,41.79178392239524,-87.58397170109156,1933
Halsted St & Archer Ave,member,41.84721447622993,-87.64684540125842,1931
Lincoln Ave & Byron St,member,41.95206655043184,-87.67759328151925,1922
Western Ave & Monroe St,member,41.879812393139716,-87.68607691047619,1911
